JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
4OR-Q J OPER RES;1619-4500;288;1.000;0.883;0.111;18;6.6;0.00097;0.478;
ANN OPER RES;0254-5330;4111;1.217;1.501;0.122;246;9.9;0.00921;0.723;
APPL STOCH MODEL BUS;1524-1904;411;0.725;0.811;0.055;55;6.6;0.00162;0.450;
ASIA PAC J OPER RES;0217-5959;296;0.346;0.582;0.017;60;6.4;0.00089;0.235;
CENT EUR J OPER RES;1435-246X;304;0.832;0.933;0.108;37;4.6;0.00102;0.332;
COMPUT OPER RES;0305-0548;7363;1.861;2.454;0.358;232;6.8;0.01931;0.970;
COMPUT OPTIM APPL;0926-6003;1618;1.317;1.471;0.092;87;7.7;0.00737;1.041;
CONCURRENT ENG-RES A;1063-293X;312;0.851;0.703;0.037;27;9.0;0.00020;0.105;
DECIS SUPPORT SYST;0167-9236;5149;2.313;2.933;0.235;183;6.4;0.01066;0.846;
DISCRETE EVENT DYN S;0924-6703;352;1.333;1.202;0.160;25;9.7;0.00106;0.713;
DISCRETE OPTIM;1572-5286;358;0.696;0.933;0.121;33;6.2;0.00216;0.831;
ENG ECON;0013-791X;280;0.844;0.795;0.000;14;9.7;0.00023;0.176;
ENG OPTIMIZ;0305-215X;1169;1.076;1.287;0.143;91;7.5;0.00202;0.362;
EUR J IND ENG;1751-5254;166;0.736;0.866;0.103;29;3.9;0.00050;0.221;
EUR J OPER RES;0377-2217;29872;2.358;2.911;0.514;658;8.5;0.04690;0.990;
EXPERT SYST APPL;0957-4174;19810;2.240;2.571;0.795;709;4.0;0.05840;0.594;
FLEX SERV MANUF J;1936-6582;167;1.872;1.765;0.600;25;2.6;0.00096;0.748;
FUZZY OPTIM DECIS MA;1568-4539;495;2.163;2.613;0.083;24;5.6;0.00109;0.618;
IEEE SYST J;1932-8184;732;1.980;1.899;0.246;122;3.4;0.00337;0.693;
IIE TRANS;0740-817X;3208;1.371;1.582;0.115;87;>10.0;0.00465;0.765;
IMA J MANAG MATH;1471-678X;219;0.500;0.592;0.091;22;7.7;0.00048;0.231;
INFOR;0315-5986;338;0.171;0.496;0.000;5;>10.0;0.00050;0.281;
INFORMS J COMPUT;1091-9856;1232;1.077;1.537;0.267;60;8.1;0.00402;1.047;
INT J COMPUT INTEG M;0951-192X;910;1.012;1.143;0.247;81;5.8;0.00136;0.214;
INT J INF TECH DECIS;0219-6220;669;1.406;1.753;0.434;53;4.8;0.00161;0.432;
INT J PROD ECON;0925-5273;11102;2.752;3.069;0.402;348;6.4;0.02024;0.810;
INT J PROD RES;0020-7543;9095;1.477;1.770;0.229;441;7.5;0.01319;0.412;
INT J SYST SCI;0020-7721;2875;2.100;1.859;0.312;205;5.2;0.00547;0.429;
INT J TECHNOL MANAGE;0267-5730;877;0.625;0.702;0.512;43;8.5;0.00108;0.191;
INT T OPER RES;0969-6016;599;0.977;1.103;0.220;50;8.1;0.00180;0.532;
INTERFACES;0092-2102;1306;0.420;0.913;0.162;37;>10.0;0.00148;0.475;
J GLOBAL OPTIM;0925-5001;3663;1.287;1.445;0.183;120;10.0;0.00800;0.694;
J IND MANAG OPTIM;1547-5816;468;0.843;0.827;0.356;90;5.2;0.00138;0.290;
J MANUF SYST;0278-6125;946;1.682;2.078;0.290;62;8.6;0.00137;0.450;
J OPER MANAG;0272-6963;5943;3.818;7.692;0.353;34;8.7;0.00736;2.341;
J OPER RES SOC;0160-5682;5205;0.953;1.246;0.145;152;>10.0;0.00667;0.503;
J OPTIMIZ THEORY APP;0022-3239;4953;1.509;1.625;0.131;213;>10.0;0.01035;0.773;
J QUAL TECHNOL;0022-4065;2046;1.152;2.096;0.261;23;>10.0;0.00181;0.912;
J SCHEDULING;1094-6136;908;1.028;1.789;0.125;40;6.7;0.00313;0.865;
J SIMUL;1747-7778;125;0.580;0.869;0.000;29;4.5;0.00042;0.219;
J SYST ENG ELECTRON;1004-4132;654;0.506;0.654;0.055;127;4.5;0.00160;0.137;
J SYST SCI SYST ENG;1004-3756;252;0.549;0.667;0.160;25;7.2;0.00046;0.212;
M&SOM-MANUF SERV OP;1523-4614;1561;1.462;2.389;0.300;40;7.5;0.00539;1.633;
MANAGE SCI;0025-1909;21112;2.482;3.399;0.512;166;>10.0;0.03063;2.672;
MATH METHOD OPER RES;1432-2994;822;0.625;0.889;0.125;32;9.2;0.00233;0.648;
MATH OPER RES;0364-765X;2770;1.307;1.585;0.190;63;>10.0;0.00687;1.931;
MATH PROGRAM;0025-5610;6537;1.803;2.324;0.412;102;>10.0;0.01567;2.010;
MEMET COMPUT;1865-9284;123;1.000;;0.000;20;3.8;0.00055;;
NAV RES LOG;0894-069X;2430;0.723;1.173;0.170;47;>10.0;0.00277;0.685;
NETW SPAT ECON;1566-113X;635;2.085;2.081;0.357;28;6.7;0.00168;0.784;
NETWORKS;0028-3045;1818;0.830;1.141;0.222;54;>10.0;0.00377;0.818;
OMEGA-INT J MANAGE S;0305-0483;4546;4.376;4.139;1.011;93;7.3;0.00793;1.240;
OPER RES;0030-364X;9909;1.743;2.824;0.250;92;>10.0;0.01687;1.907;
OPER RES LETT;0167-6377;2259;0.617;0.864;0.066;106;>10.0;0.00547;0.616;
OPER RES-GER;1109-2858;46;0.311;;0.000;23;;0.00013;;
OPTIM CONTR APPL MET;0143-2087;566;0.903;1.420;0.116;43;5.7;0.00218;0.664;
OPTIM ENG;1389-4420;508;1.233;1.236;0.071;42;7.7;0.00161;0.646;
OPTIM LETT;1862-4472;626;0.934;1.074;0.193;176;3.1;0.00365;0.513;
OPTIM METHOD SOFTW;1055-6788;1270;1.624;1.544;0.338;71;9.9;0.00485;1.086;
OPTIMIZATION;0233-1934;1047;0.936;1.010;0.295;112;8.5;0.00364;0.560;
OR SPECTRUM;0171-6468;1135;0.987;1.958;0.310;42;7.7;0.00265;0.878;
P I MECH ENG O-J RIS;1748-006X;243;0.860;0.907;0.200;55;3.5;0.00097;0.298;
PAC J OPTIM;1348-9151;325;1.079;1.010;0.065;46;4.6;0.00169;0.533;
PROBAB ENG INFORM SC;0269-9648;398;0.460;0.565;0.069;29;9.7;0.00103;0.403;
PROD OPER MANAG;1059-1478;2491;1.439;2.116;0.370;135;8.6;0.00509;0.929;
PROD PLAN CONTROL;0953-7287;1525;1.466;1.733;0.140;86;8.5;0.00132;0.281;
QUAL RELIAB ENG INT;0748-8017;1180;1.191;1.217;0.108;111;7.1;0.00294;0.447;
QUAL TECHNOL QUANT M;1684-3703;113;0.583;0.550;0.029;35;4.2;0.00061;0.256;
QUEUEING SYST;0257-0130;1041;0.839;0.832;0.178;45;>10.0;0.00260;0.689;
RAIRO-OPER RES;0399-0559;178;0.405;0.505;0.030;33;>10.0;0.00049;0.298;
RELIAB ENG SYST SAFE;0951-8320;6527;2.410;2.693;0.559;220;7.6;0.01131;0.826;
SAFETY SCI;0925-7535;3959;1.831;2.210;0.491;230;5.4;0.01003;0.662;
